date,city,tavg,tmin,tmax,prcp
2020-09-07,Antananarivo,16.0,,24.0,
2021-01-02,Antananarivo,20.2,15.2,25.5,0.5
2021-01-03,Antananarivo,20.2,16.7,25.1,0.1
2021-01-04,Antananarivo,20.0,14.4,26.8,0.0
2021-01-05,Antananarivo,21.3,15.9,28.5,0.7
2021-01-06,Antananarivo,21.6,16.4,28.8,1.4
2021-01-07,Antananarivo,22.0,16.7,30.0,1.1
2021-01-08,Antananarivo,22.5,17.1,29.6,1.6
2021-01-09,Antananarivo,21.1,17.3,27.7,11.9
2021-01-10,Antananarivo,21.1,15.2,28.7,1.0
2021-01-11,Antananarivo,21.8,16.2,29.3,0.5
2021-01-12,Antananarivo,22.4,15.3,29.1,1.5
2021-01-13,Antananarivo,22.5,17.1,28.8,4.1
2021-01-14,Antananarivo,22.1,18.3,28.2,8.6
2021-01-15,Antananarivo,21.6,17.6,28.7,3.3
2021-01-16,Antananarivo,22.6,17.9,28.8,1.6
2021-01-17,Antananarivo,23.2,16.8,29.9,1.4
2021-01-18,Antananarivo,23.1,18.0,28.5,0.7
2021-01-19,Antananarivo,22.3,17.0,28.6,2.0
2021-01-20,Antananarivo,21.2,19.1,24.4,0.1
2021-01-21,Antananarivo,22.0,18.9,26.8,3.3
2021-01-22,Antananarivo,21.9,17.4,28.4,2.3
2021-01-23,Antananarivo,21.8,17.8,28.0,2.8
2021-01-24,Antananarivo,21.0,17.6,28.0,26.5
2021-01-25,Antananarivo,20.5,17.1,26.9,13.6
2021-01-26,Antananarivo,20.6,16.4,26.4,8.4
2021-01-27,Antananarivo,21.1,16.4,27.2,12.7
2021-01-28,Antananarivo,20.6,17.7,25.9,39.6
2021-01-29,Antananarivo,20.1,16.8,25.6,11.6
2021-01-30,Antananarivo,20.0,16.1,26.7,10.1
2021-01-31,Antananarivo,21.1,16.4,26.2,4.9
2021-02-01,Antananarivo,21.9,17.2,27.6,0.0
2021-02-02,Antananarivo,22.0,18.1,27.8,0.0
2021-02-03,Antananarivo,20.4,14.6,26.7,4.4
2021-02-04,Antananarivo,21.1,17.4,26.8,6.8
2021-02-05,Antananarivo,20.7,15.2,26.7,9.8
2021-02-06,Antananarivo,21.0,16.7,26.5,4.0
2021-02-07,Antananarivo,20.1,17.1,26.0,4.8
2021-02-08,Antananarivo,20.0,16.8,25.8,16.1
2021-02-09,Antananarivo,19.9,16.9,25.9,24.3
2021-02-10,Antananarivo,19.6,17.8,22.9,42.7
2021-02-11,Antananarivo,19.2,17.1,24.4,31.1
2021-02-12,Antananarivo,20.0,17.2,23.9,7.4
2021-02-13,Antananarivo,19.5,17.4,23.6,4.8
2021-02-14,Antananarivo,18.1,16.6,20.7,18.5
2021-02-15,Antananarivo,18.6,16.6,21.3,6.9
2021-02-16,Antananarivo,19.6,16.6,23.3,10.4
2021-02-17,Antananarivo,21.1,17.4,26.7,0.2
2021-02-18,Antananarivo,21.9,16.3,29.1,10.8
2021-02-19,Antananarivo,22.2,18.3,29.0,4.2
2021-02-20,Antananarivo,22.4,18.8,28.4,2.8
2021-02-21,Antananarivo,21.2,17.8,25.7,1.1
2021-02-22,Antananarivo,20.5,16.9,25.3,3.1
2021-02-23,Antananarivo,19.7,16.6,24.9,1.4
2021-02-24,Antananarivo,19.7,16.3,23.9,3.9
2021-02-25,Antananarivo,19.9,17.2,24.2,6.0
2021-02-26,Antananarivo,20.5,15.0,25.7,10.4
2021-02-27,Antananarivo,20.8,17.5,25.6,19.7
2021-02-28,Antananarivo,20.8,15.9,25.9,5.8
2021-03-01,Antananarivo,21.1,18.3,25.6,1.1
2021-03-02,Antananarivo,20.6,16.9,25.5,1.1
2021-03-03,Antananarivo,20.7,16.6,26.3,3.2
2021-03-04,Antananarivo,20.2,18.0,24.7,13.6
2021-03-05,Antananarivo,19.7,17.4,23.7,18.1
2021-03-06,Antananarivo,20.5,17.5,25.4,10.0
2021-03-07,Antananarivo,20.3,16.7,25.0,3.6
2021-03-08,Antananarivo,20.2,16.8,24.9,3.1
2021-03-09,Antananarivo,20.4,16.4,25.7,1.4
2021-03-10,Antananarivo,20.0,14.9,25.4,11.7
2021-03-11,Antananarivo,22.7,17.5,28.6,0.0
2021-03-12,Antananarivo,19.6,15.8,25.4,1.3
2021-03-13,Antananarivo,18.6,13.0,25.1,0.2
2021-03-14,Antananarivo,18.5,13.3,24.8,7.3
2021-03-15,Antananarivo,19.6,15.7,24.2,1.1
2021-03-16,Antananarivo,19.3,15.1,24.4,5.1
2021-03-17,Antananarivo,19.1,15.3,24.4,13.0
2021-03-18,Antananarivo,19.5,17.0,24.5,11.1
2021-03-19,Antananarivo,19.6,16.4,25.3,5.8
2021-03-20,Antananarivo,18.9,15.7,23.2,7.8
2021-03-21,Antananarivo,19.2,15.3,24.6,4.9
2021-03-22,Antananarivo,19.9,16.1,25.1,7.4
2021-03-23,Antananarivo,20.2,16.9,25.0,8.5
2021-03-24,Antananarivo,19.8,16.9,24.7,7.3
2021-03-25,Antananarivo,20.3,17.3,25.1,11.0
2021-03-26,Antananarivo,20.5,17.6,25.4,11.4
2021-03-27,Antananarivo,20.4,16.1,25.8,9.0
2021-03-28,Antananarivo,19.4,14.7,25.9,0.0
2021-03-29,Antananarivo,19.4,15.3,25.5,0.0
2021-03-30,Antananarivo,19.5,14.4,25.0,2.2
2021-03-31,Antananarivo,19.7,15.7,25.3,0.1
2021-04-01,Antananarivo,19.6,17.0,23.8,0.5
2021-04-02,Antananarivo,19.0,16.3,23.2,0.7
2021-04-03,Antananarivo,18.6,12.9,25.2,0.7
2021-04-04,Antananarivo,19.6,15.5,26.1,9.0
2021-04-05,Antananarivo,19.9,15.8,25.6,0.1
2021-04-06,Antananarivo,19.4,13.0,26.7,0.1
2021-04-07,Antananarivo,19.1,16.6,22.9,12.1
2021-04-08,Antananarivo,19.3,16.4,23.2,0.1
2021-04-09,Antananarivo,19.3,14.8,24.9,0.4
2021-04-10,Antananarivo,19.3,14.9,24.6,0.6
2021-04-11,Antananarivo,18.8,14.6,23.8,0.0
2021-04-12,Antananarivo,19.1,14.2,24.8,0.0
2021-04-13,Antananarivo,19.1,16.1,24.2,3.9
2021-04-14,Antananarivo,19.1,16.0,24.8,5.2
2021-04-15,Antananarivo,19.3,15.8,23.4,3.6
2021-04-16,Antananarivo,19.4,15.9,24.6,0.7
2021-04-17,Antananarivo,18.6,14.9,25.3,3.2
2021-04-18,Antananarivo,16.3,14.3,20.8,0.6
2021-04-19,Antananarivo,16.5,13.8,21.0,4.2
2021-04-20,Antananarivo,17.6,14.1,22.7,0.0
2021-04-21,Antananarivo,17.9,14.0,22.6,0.3
2021-04-22,Antananarivo,18.3,14.1,24.2,2.8
2021-04-23,Antananarivo,18.6,16.0,23.8,1.7
2021-04-24,Antananarivo,18.0,13.8,22.9,0.4
2021-04-25,Antananarivo,18.5,15.4,22.8,0.8
2021-04-26,Antananarivo,18.8,16.1,22.6,6.3
2021-04-27,Antananarivo,18.7,16.0,23.3,4.0
2021-04-28,Antananarivo,18.7,14.5,23.8,0.7
2021-04-29,Antananarivo,18.8,15.1,23.8,0.5
2021-04-30,Antananarivo,18.8,15.5,23.7,0.8
2021-05-01,Antananarivo,19.4,15.5,25.0,0.6
2021-05-02,Antananarivo,19.0,15.3,24.7,1.0
2021-05-03,Antananarivo,18.3,14.6,23.7,2.4
2021-05-04,Antananarivo,17.6,12.0,23.8,0.8
2021-05-05,Antananarivo,17.6,12.1,24.6,0.6
2021-05-06,Antananarivo,18.1,12.3,24.7,0.0
2021-05-07,Antananarivo,18.4,14.2,23.5,0.1
2021-05-08,Antananarivo,17.5,14.4,21.7,0.0
2021-05-09,Antananarivo,17.7,14.5,22.4,3.4
2021-05-10,Antananarivo,17.5,14.2,21.8,1.6
2021-05-11,Antananarivo,16.8,11.8,22.1,0.8
2021-05-12,Antananarivo,17.0,12.6,22.4,0.1
2021-05-13,Antananarivo,16.8,12.7,21.7,0.8
2021-05-14,Antananarivo,17.1,12.2,22.6,0.4
2021-05-15,Antananarivo,17.1,13.4,21.5,0.2
2021-05-16,Antananarivo,16.4,13.0,21.3,0.0
2021-05-17,Antananarivo,16.3,11.2,22.8,0.0
2021-05-18,Antananarivo,16.4,10.4,23.0,0.0
2021-05-19,Antananarivo,15.8,12.2,21.0,0.3
2021-05-20,Antananarivo,14.8,12.2,18.5,0.0
2021-05-21,Antananarivo,13.0,8.7,17.7,0.0
